Days since 2020-11-18 00:00:00,Price at Closing (USD)
0,486.6400146484375
1,499.2699890136719
2,489.6099853515625
5,521.8499755859375
6,555.3800048828125
7,574.0
9,585.760009765625
12,567.5999755859375
13,584.760009765625
14,568.8200073242188
15,593.3800048828125
16,599.0399780273438
19,641.760009765625
20,649.8800048828125
21,604.47998046875
22,627.0700073242188
23,609.989990234375
26,639.8300170898438
27,633.25
28,622.77001953125
29,655.9000244140625
30,695.0
33,649.8599853515625
34,640.3400268554688
35,645.97998046875
36,661.77001953125
40,663.6900024414062
41,665.989990234375
42,694.780029296875
43,705.6699829101562
47,729.77001953125
48,735.1099853515625
49,755.97998046875
50,816.0399780273438
51,880.02001953125
54,811.1900024414062
55,849.4400024414062
56,854.4099731445312
57,845.0
58,826.1599731445312
62,844.5499877929688
63,850.4500122070312
64,844.989990234375
65,846.6400146484375
68,880.7999877929688
69,883.0900268554688
70,864.1599731445312
71,835.4299926757812
72,793.530029296875
75,839.8099975585938
76,872.7899780273438
77,854.6900024414062
78,849.989990234375
79,852.22998046875
82,863.4199829101562
83,849.4600219726562
84,804.8200073242188
85,811.6599731445312
86,816.1199951171875
90,796.219970703125
91,798.1500244140625
92,787.3800048828125
93,781.2999877929688
96,714.5
97,698.8400268554688
98,742.02001953125
99,682.219970703125
100,675.5
103,718.4299926757812
104,686.4400024414062
105,653.2000122070312
106,621.4400024414062
107,597.9500122070312
110,563.0
111,673.5800170898438
112,668.0599975585938
113,699.5999755859375
114,693.72998046875
117,707.9400024414062
118,676.8800048828125
119,701.8099975585938
120,653.1599731445312
121,654.8699951171875
124,670.0
125,662.1599731445312
126,630.27001953125
127,640.3900146484375
128,618.7100219726562
131,611.2899780273438
132,635.6199951171875
133,667.9299926757812
134,661.75
138,691.0499877929688
139,691.6199951171875
140,670.969970703125
141,683.7999877929688
142,677.02001953125
145,701.97998046875
146,762.3200073242188
147,732.22998046875
148,738.8499755859375
149,739.780029296875
152,714.6300048828125
153,718.989990234375
154,744.1199951171875
155,719.6900024414062
156,729.4000244140625
159,738.2000122070312
160,704.739990234375
161,694.4000244140625
162,677.0
163,709.4400024414062
166,684.9000244140625
167,673.5999755859375
168,670.9400024414062
169,663.5399780273438
170,672.3699951171875
173,629.0399780273438
174,617.2000122070312
175,589.8900146484375
176,571.6900024414062
177,589.739990234375
180,576.8300170898438
181,577.8699951171875
182,563.4600219726562
183,586.780029296875
184,580.8800048828125
187,606.4400024414062
188,604.6900024414062
189,619.1300048828125
190,630.8499755859375
191,625.219970703125
195,623.9000244140625
196,605.1199951171875
197,572.8400268554688
198,599.0499877929688
201,605.1300048828125
202,603.5900268554688
203,598.780029296875
204,610.1199951171875
205,609.8900146484375
208,617.6900024414062
209,599.3599853515625
210,604.8699951171875
211,616.5999755859375
212,623.3099975585938
215,620.8300170898438
216,623.7100219726562
217,656.5700073242188
218,679.8200073242188
219,671.8699951171875
222,688.719970703125
223,680.760009765625
224,679.7000122070312
225,677.9199829101562
226,678.9000244140625
230,659.5800170898438
231,644.6500244140625
232,652.8099975585938
233,656.9500122070312
236,685.7000122070312
237,668.5399780273438
238,653.3800048828125
239,650.5999755859375
240,644.219970703125
243,646.219970703125
244,660.5
245,655.2899780273438
246,649.260009765625
247,643.3800048828125
250,657.6199951171875
251,644.780029296875
252,646.97998046875
253,677.3499755859375
254,687.2000122070312
257,709.6699829101562
258,709.739990234375
259,710.9199829101562
260,714.6300048828125
261,699.0999755859375
264,713.760009765625
265,709.989990234375
266,707.8200073242188
267,722.25
268,717.1699829101562
271,686.1699829101562
272,665.7100219726562
273,688.989990234375
274,673.469970703125
275,680.260009765625
278,706.2999877929688
279,708.489990234375
280,711.2000122070312
281,701.1599731445312
282,711.9199829101562
285,730.9099731445312
286,735.719970703125
287,734.0900268554688
288,732.3900146484375
289,733.5700073242188
293,752.9199829101562
294,753.8699951171875
295,754.8599853515625
296,736.27001953125
299,743.0
300,744.489990234375
301,755.8300170898438
302,756.989990234375
303,759.489990234375
306,730.1699829101562
307,739.3800048828125
308,751.9400024414062
309,753.6400146484375
310,774.3900146484375
313,791.3599853515625
314,777.5599975585938
315,781.3099975585938
316,775.47998046875
317,775.219970703125
320,781.530029296875
321,780.5900268554688
322,782.75
323,793.6099853515625
324,785.489990234375
327,791.9400024414062
328,805.719970703125
329,811.0800170898438
330,818.3200073242188
331,843.030029296875
334,870.1099853515625
335,864.27001953125
336,865.7999877929688
337,894.0
338,909.6799926757812
341,1024.8599853515625
342,1018.4299926757812
343,1037.8599853515625
344,1077.0400390625
345,1114.0
348,1208.5899658203125
349,1172.0
350,1213.8599853515625
351,1229.9100341796875
352,1222.0899658203125
355,1162.93994140625
356,1023.5
357,1067.949951171875
358,1063.510009765625
359,1033.4200439453125
362,1013.3900146484375
363,1054.72998046875
364,1089.010009765625
