Days since 1950-01-03 00:00:00,Price at Closing (USD)
0,16.65999984741211
1,16.850000381469727
2,16.93000030517578
3,16.979999542236328
6,17.079999923706055
7,17.030000686645508
8,17.09000015258789
9,16.760000228881836
10,16.670000076293945
13,16.719999313354492
14,16.860000610351562
15,16.850000381469727
16,16.8700008392334
17,16.899999618530273
20,16.920000076293945
21,16.860000610351562
22,16.739999771118164
23,16.729999542236328
24,16.81999969482422
27,17.020000457763672
28,17.049999237060547
29,17.049999237060547
30,17.229999542236328
31,17.290000915527344
34,17.31999969482422
35,17.229999542236328
36,17.209999084472656
37,17.280000686645508
38,17.239999771118164
42,17.059999465942383
43,17.059999465942383
44,16.989999771118164
45,17.149999618530273
48,17.200000762939453
49,17.170000076293945
51,17.209999084472656
52,17.280000686645508
55,17.280000686645508
56,17.219999313354492
57,17.239999771118164
58,17.229999542236328
59,17.290000915527344
62,17.31999969482422
63,17.200000762939453
64,17.190000534057617
65,17.06999969482422
66,17.09000015258789
69,17.1200008392334
70,17.25
71,17.450000762939453
72,17.489999771118164
73,17.450000762939453
76,17.440000534057617
77,17.450000762939453
78,17.549999237060547
79,17.559999465942383
80,17.559999465942383
83,17.459999084472656
84,17.530000686645508
85,17.440000534057617
86,17.299999237060547
87,17.290000915527344
90,17.530000686645508
91,17.549999237060547
92,17.6299991607666
93,17.780000686645508
97,17.850000381469727
98,17.75
99,17.940000534057617
100,17.979999542236328
101,17.959999084472656
104,17.8799991607666
105,18.030000686645508
106,18.049999237060547
107,17.93000030517578
108,17.959999084472656
111,17.829999923706055
112,17.829999923706055
113,17.760000228881836
114,17.860000610351562
115,17.959999084472656
118,18.219999313354492
119,18.110000610351562
120,18.270000457763672
121,18.1200008392334
122,18.219999313354492
125,18.270000457763672
126,18.270000457763672
127,18.290000915527344
128,18.290000915527344
129,18.18000030517578
132,18.260000228881836
133,18.440000534057617
134,18.520000457763672
135,18.559999465942383
136,18.68000030517578
139,18.600000381469727
140,18.709999084472656
141,18.690000534057617
142,18.690000534057617
143,18.670000076293945
146,18.719999313354492
148,18.780000686645508
149,18.770000457763672
150,18.790000915527344
153,18.600000381469727
154,18.8799991607666
155,18.93000030517578
156,19.139999389648438
157,19.260000228881836
160,19.399999618530273
161,19.25
162,18.979999542236328
163,18.93000030517578
164,18.969999313354492
167,18.920000076293945
168,18.829999923706055
169,19.0
170,19.15999984741211
171,19.139999389648438
174,18.110000610351562
175,17.90999984741211
176,18.110000610351562
177,17.440000534057617
178,17.690000534057617
181,17.639999389648438
183,17.809999465942383
184,17.90999984741211
185,17.670000076293945
188,17.59000015258789
189,17.31999969482422
190,16.8700008392334
191,16.690000534057617
192,16.8700008392334
195,16.68000030517578
196,17.059999465942383
197,17.360000610351562
198,17.610000610351562
199,17.59000015258789
202,17.479999542236328
203,17.229999542236328
204,17.270000457763672
205,17.5
206,17.690000534057617
209,17.84000015258789
210,18.020000457763672
211,17.950000762939453
212,17.989999771118164
213,18.139999389648438
216,18.40999984741211
217,18.459999084472656
218,18.610000610351562
219,18.479999542236328
220,18.280000686645508
223,18.290000915527344
224,18.31999969482422
225,18.34000015258789
226,18.540000915527344
227,18.68000030517578
230,18.700000762939453
231,18.68000030517578
232,18.81999969482422
233,18.790000915527344
234,18.540000915527344
237,18.530000686645508
238,18.540000915527344
239,18.43000030517578
240,18.420000076293945
241,18.549999237060547
245,18.68000030517578
246,18.540000915527344
247,18.59000015258789
