Days since 2020-11-17 00:00:00,Price at Closing (USD)
0,441.6099853515625
1,486.6400146484375
2,499.2699890136719
3,489.6099853515625
6,521.8499755859375
7,555.3800048828125
8,574.0
10,585.760009765625
13,567.5999755859375
14,584.760009765625
15,568.8200073242188
16,593.3800048828125
17,599.0399780273438
20,641.760009765625
21,649.8800048828125
22,604.47998046875
23,627.0700073242188
24,609.989990234375
27,639.8300170898438
28,633.25
29,622.77001953125
30,655.9000244140625
31,695.0
34,649.8599853515625
35,640.3400268554688
36,645.97998046875
37,661.77001953125
41,663.6900024414062
42,665.989990234375
43,694.780029296875
44,705.6699829101562
48,729.77001953125
49,735.1099853515625
50,755.97998046875
51,816.0399780273438
52,880.02001953125
55,811.1900024414062
56,849.4400024414062
57,854.4099731445312
58,845.0
59,826.1599731445312
63,844.5499877929688
64,850.4500122070312
65,844.989990234375
66,846.6400146484375
69,880.7999877929688
70,883.0900268554688
71,864.1599731445312
72,835.4299926757812
73,793.530029296875
76,839.8099975585938
77,872.7899780273438
78,854.6900024414062
79,849.989990234375
80,852.22998046875
83,863.4199829101562
84,849.4600219726562
85,804.8200073242188
86,811.6599731445312
87,816.1199951171875
91,796.219970703125
92,798.1500244140625
93,787.3800048828125
94,781.2999877929688
97,714.5
98,698.8400268554688
99,742.02001953125
100,682.219970703125
101,675.5
104,718.4299926757812
105,686.4400024414062
106,653.2000122070312
107,621.4400024414062
108,597.9500122070312
111,563.0
112,673.5800170898438
113,668.0599975585938
114,699.5999755859375
115,693.72998046875
118,707.9400024414062
119,676.8800048828125
120,701.8099975585938
121,653.1599731445312
122,654.8699951171875
125,670.0
126,662.1599731445312
127,630.27001953125
128,640.3900146484375
129,618.7100219726562
132,611.2899780273438
133,635.6199951171875
134,667.9299926757812
135,661.75
139,691.0499877929688
140,691.6199951171875
141,670.969970703125
142,683.7999877929688
143,677.02001953125
146,701.97998046875
147,762.3200073242188
148,732.22998046875
149,738.8499755859375
150,739.780029296875
153,714.6300048828125
154,718.989990234375
155,744.1199951171875
156,719.6900024414062
157,729.4000244140625
160,738.2000122070312
161,704.739990234375
162,694.4000244140625
163,677.0
164,709.4400024414062
167,684.9000244140625
168,673.5999755859375
169,670.9400024414062
170,663.5399780273438
171,672.3699951171875
174,629.0399780273438
175,617.2000122070312
176,589.8900146484375
177,571.6900024414062
178,589.739990234375
181,576.8300170898438
182,577.8699951171875
183,563.4600219726562
184,586.780029296875
185,580.8800048828125
188,606.4400024414062
189,604.6900024414062
190,619.1300048828125
191,630.8499755859375
192,625.219970703125
196,623.9000244140625
197,605.1199951171875
198,572.8400268554688
199,599.0499877929688
202,605.1300048828125
203,603.5900268554688
204,598.780029296875
205,610.1199951171875
206,609.8900146484375
209,617.6900024414062
210,599.3599853515625
211,604.8699951171875
212,616.5999755859375
213,623.3099975585938
216,620.8300170898438
217,623.7100219726562
218,656.5700073242188
219,679.8200073242188
220,671.8699951171875
223,688.719970703125
224,680.760009765625
225,679.7000122070312
226,677.9199829101562
227,678.9000244140625
231,659.5800170898438
232,644.6500244140625
233,652.8099975585938
234,656.9500122070312
237,685.7000122070312
238,668.5399780273438
239,653.3800048828125
240,650.5999755859375
241,644.219970703125
244,646.219970703125
245,660.5
246,655.2899780273438
247,649.260009765625
248,643.3800048828125
251,657.6199951171875
252,644.780029296875
253,646.97998046875
254,677.3499755859375
255,687.2000122070312
258,709.6699829101562
259,709.739990234375
260,710.9199829101562
261,714.6300048828125
262,699.0999755859375
265,713.760009765625
266,709.989990234375
267,707.8200073242188
268,722.25
269,717.1699829101562
272,686.1699829101562
273,665.7100219726562
274,688.989990234375
275,673.469970703125
276,680.260009765625
279,706.2999877929688
280,708.489990234375
281,711.2000122070312
282,701.1599731445312
283,711.9199829101562
286,730.9099731445312
287,735.719970703125
288,734.0900268554688
289,732.3900146484375
290,733.5700073242188
294,752.9199829101562
295,753.8699951171875
296,754.8599853515625
297,736.27001953125
300,743.0
301,744.489990234375
302,755.8300170898438
303,756.989990234375
304,759.489990234375
307,730.1699829101562
308,739.3800048828125
309,751.9400024414062
310,753.6400146484375
311,774.3900146484375
314,791.3599853515625
315,777.5599975585938
316,781.3099975585938
317,775.47998046875
318,775.219970703125
321,781.530029296875
322,780.5900268554688
323,782.75
324,793.6099853515625
325,785.489990234375
328,791.9400024414062
329,805.719970703125
330,811.0800170898438
331,818.3200073242188
332,843.030029296875
335,870.1099853515625
336,864.27001953125
337,865.7999877929688
338,894.0
339,909.6799926757812
342,1024.8599853515625
343,1018.4299926757812
344,1037.8599853515625
345,1077.0400390625
346,1114.0
349,1208.5899658203125
350,1172.0
351,1213.8599853515625
352,1229.9100341796875
353,1222.0899658203125
356,1162.93994140625
357,1023.5
358,1067.949951171875
359,1063.510009765625
360,1033.4200439453125
363,1013.3900146484375
364,1054.72998046875
